team,season,state,next_state,count,adjustment_type,poss_per_game
ATL,2024-25,OPP 2pt Made,ATL 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,ATL 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,ATL FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,OPP 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,OPP DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,OPP Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,ATL 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,ATL 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,ATL FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,ATL Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,OPP 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,OPP DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,OPP OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP 3pt Made,OPP Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,ATL 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,ATL 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,ATL DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,ATL FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,ATL Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,ATL Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,OPP 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,OPP DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,OPP FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,OPP OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,OPP Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,ATL 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP FT Made,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,ATL Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP OREB,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,OPP 2pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,OPP 3pt Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,OPP DREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,OPP FT Made,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,OPP OREB,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,OPP Offense Start,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,OPP Turnover,0.0,2PT FG% +5%,98.8
ATL,2024-25,OPP DREB,OPP Offense Start,3115.0,3PT FG% +5%,98.8
ATL,2024-25,ATL DREB,ATL Offense Start,3037.0,3PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,ATL DREB,2453.0,3PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,OPP DREB,2422.46,3PT FG% +5%,98.8
ATL,2024-25,ATL 2pt Made,OPP Offense Start,2329.0,3PT FG% +5%,98.8
ATL,2024-25,OPP 2pt Made,ATL Offense Start,2263.0,3PT FG% +5%,98.8
ATL,2024-25,ATL Offense Start,ATL 2pt Made,2070.0,3PT FG% +5%,98.8
ATL,2024-25,OPP Offense Start,OPP 2pt Made,2061.0,3PT FG% +5%,98.8
ATL,2024-25,OPP Turnover,ATL Offense Start,1270.0,3PT FG% +5%,98.8
